"itemA","itemB","categoryA","categoryB","item_pairs","type"
"reach for something","kick something","act","act","reach for something-kick something","within domain"
"reach for something","feel tired","act","bio","reach for something-feel tired","across domain"
"remember something","feel scared","cog","bio","remember something-feel scared","across domain"
"remember something","take a walk","cog","act","remember something-take a walk","across domain"
"reach for something","hear something","act","cog","reach for something-hear something","across domain"
"remember something","hear something","cog","cog","remember something-hear something","within domain"
"kick something","reach for something","act","act","kick something-reach for something","within domain"
"sit down","hear something","act","cog","sit down-hear something","across domain"
"kick something","feel scared","act","bio","kick something-feel scared","across domain"
"take a walk","feel hungry","act","bio","take a walk-feel hungry","across domain"
"hear something","feel pain","cog","bio","hear something-feel pain","across domain"
"take a walk","hear something","act","cog","take a walk-hear something","across domain"
"take a walk","feel sick","act","bio","take a walk-feel sick","across domain"
"think about something","reach for something","cog","act","think about something-reach for something","across domain"
"think about something","kick something","cog","act","think about something-kick something","across domain"
"choose what to do","remember something","cog","cog","choose what to do-remember something","within domain"
"kick something","see something","act","cog","kick something-see something","across domain"
"feel tired","feel pain","bio","bio","feel tired-feel pain","within domain"
"jump up and down","feel scared","act","bio","jump up and down-feel scared","across domain"
"see something","take a walk","cog","act","see something-take a walk","across domain"
"reach for something","see something","act","cog","reach for something-see something","across domain"
"kick something","remember something","act","cog","kick something-remember something","across domain"
"take a walk","sit down","act","act","take a walk-sit down","within domain"
"kick something","feel tired","act","bio","kick something-feel tired","across domain"
"feel hungry","choose what to do","bio","cog","feel hungry-choose what to do","across domain"
"see something","feel scared","cog","bio","see something-feel scared","across domain"
"feel sick","feel pain","bio","bio","feel sick-feel pain","within domain"
"feel sick","feel scared","bio","bio","feel sick-feel scared","within domain"
"sit down","feel sick","act","bio","sit down-feel sick","across domain"
"feel scared","think about something","bio","cog","feel scared-think about something","across domain"
"reach for something","choose what to do","act","cog","reach for something-choose what to do","across domain"
"feel hungry","jump up and down","bio","act","feel hungry-jump up and down","across domain"
"see something","jump up and down","cog","act","see something-jump up and down","across domain"
"kick something","sit down","act","act","kick something-sit down","within domain"
"remember something","feel scared","cog","bio","remember something-feel scared","across domain"
"jump up and down","feel pain","act","bio","jump up and down-feel pain","across domain"
"remember something","feel tired","cog","bio","remember something-feel tired","across domain"
"reach for something","kick something","act","act","reach for something-kick something","within domain"
"hear something","feel hungry","cog","bio","hear something-feel hungry","across domain"
"choose what to do","sit down","cog","act","choose what to do-sit down","across domain"
"think about something","remember something","cog","cog","think about something-remember something","within domain"
"feel hungry","feel pain","bio","bio","feel hungry-feel pain","within domain"
"choose what to do","feel pain","cog","bio","choose what to do-feel pain","across domain"
"kick something","take a walk","act","act","kick something-take a walk","within domain"
"think about something","jump up and down","cog","act","think about something-jump up and down","across domain"
"feel sick","feel tired","bio","bio","feel sick-feel tired","within domain"
